FIPS Codes,County,percent (men)_2010,percent (women)_2010,percent (men)_2013,percent (women)_2013,Geographic area,Density_Population
35013,Grant County,8.8,7,10.8,8.7,Grant County,7.4
35015,Guadalupe County,8.1,7.3,8.7,8,Guadalupe County,1.5
35017,Harding County,10.7,8.4,11.7,8.8,Harding County,0.3
35019,Hidalgo County,9.1,7.5,9.8,8.1,Hidalgo County,1.4
35021,Lea County,8.7,8,8.4,7.5,Lea County,14.7
35023,Lincoln County,9.3,6.9,8.9,6.9,Lincoln County,4.2
35025,Los Alamos County,7.6,5.8,7.8,6.3,Los Alamos County,164.4
35027,Luna County,10.1,8.3,11.3,10,Luna County,8.5
35028,McKinley County,12.2,13.8,12.8,14.3,McKinley County,13.1
35029,Mora County,10.8,8.8,12.3,10.3,Mora County,2.5
35031,Otero County,10.2,9.4,9.7,9.3,Otero County,9.6
35033,Quay County,10,8,10.7,8.5,Quay County,3.1
35035,Rio Arriba County,9.1,8,9.5,8.2,Rio Arriba County,6.9
35037,Roosevelt County,7.4,6.6,9.8,9,Roosevelt County,8.1
35039,Sandoval County,7.9,7,8.7,7.3,Sandoval County,35.5
35041,San Juan County,10.2,8.8,10.4,9.6,San Juan County,23.6
35043,San Miguel County,9.4,7.9,9.7,8,San Miguel County,6.2
35045,Santa Fe County,5.1,4,5.5,4,Santa Fe County,75.5
35047,Sierra County,11.7,9.5,11.5,8.8,Sierra County,2.9
35049,Socorro County,8.5,7.7,10.9,10,Socorro County,2.7
35051,Taos County,7.9,6.3,8.6,7,Taos County,15
35053,Torrance County,9.4,8.2,10.4,9.3,Torrance County,4.9
35055,Union County,7.4,7.3,9.3,9.8,Union County,1.2
35057,Valencia County,8.7,7.7,9.7,8.3,Valencia County,71.8
35059,Albany County,9,7.9,10.2,9.4,Albany County,581.9
35061,Allegany County,11.2,9.3,10.3,8.3,Allegany County,47.6
36001,Bronx County,10.4,10.2,12.1,12.4,Bronx County,32903.3
36003,Broome County,10.7,9.4,10.4,9.5,Broome County,284.2
36005,Cattaraugus County,11.6,9.7,10.3,8.3,Cattaraugus County,61.4
36007,Cayuga County,10.6,8.7,10.6,9.3,Cayuga County,115.7
36009,Chautauqua County,10.9,8.8,10.8,9,Chautauqua County,127.2
36011,Chemung County,12.1,10.8,10.2,8.7,Chemung County,218.1
36013,Chenango County,10.2,7.9,11.3,9.1,Chenango County,56.5
36015,Clinton County,9.1,7.5,10.5,9.3,Clinton County,79.1
36017,Columbia County,9.7,7.6,11.6,9.6,Columbia County,99.4
36019,Cortland County,9.8,8.4,9.2,7.5,Cortland County,98.9
36021,Delaware County,11.1,8.7,11.9,9.6,Delaware County,33.3
36023,Dutchess County,10.4,9,10.1,9.2,Dutchess County,373.9
36025,Erie County,10.7,9.6,10,8.8,Erie County,881.4
36027,Essex County,10.4,9,10.4,8.9,Essex County,21.9
36029,Franklin County,10.1,9.2,9.8,9.4,Franklin County,31.7
36031,Fulton County,10.9,8.6,10.9,9.3,Fulton County,112.1
36033,Genesee County,12.6,10.9,10.1,8.6,Genesee County,121.9
36035,Greene County,10.6,8.9,10.3,8.7,Greene County,76.1
36037,Hamilton County,13.2,10.4,12.3,9.7,Hamilton County,2.8
36039,Herkimer County,10.9,9,10.1,8.3,Herkimer County,45.7
36041,Jefferson County,9.3,8.2,9.5,9.3,Jefferson County,91.6
36043,Kings County,10.2,10.2,9.9,10.7,Kings County,35369.2
36045,Lewis County,11.8,10,11,8.9,Lewis County,21.3
36047,Livingston County,10.4,8.6,11.3,9.8,Livingston County,103.5
36049,Madison County,9.2,7.3,10.6,8.7,Madison County,112.2
36051,Monroe County,10.3,8.9,10.2,9.2,Monroe County,1132.6
36053,Montgomery County,9.8,8.1,10.3,8.6,Montgomery County,124.6
36055,Nassau County,9.6,7.9,9.3,7.4,Nassau County,4704.8
36057,New York County,7.7,7,6.8,6.6,New York County,69468.4
36059,Niagara County,11.5,9.4,10.2,8.9,Niagara County,414.4
36061,Oneida County,10,8.5,10.7,9.3,Oneida County,193.7
36063,Onondaga County,11,9.3,9.7,8.5,Onondaga County,600
36065,Ontario County,10,8,8.7,6.7,Ontario County,167.6
36067,Orange County,10.2,9,10.2,9.1,Orange County,459.3
36069,Orleans County,10.6,8.6,10.6,8.9,Orleans County,109.6
36071,Oswego County,11.1,9.2,11.7,9.7,Oswego County,128.3
36073,Otsego County,11,9,10.3,8.4,Otsego County,62.2
36075,Putnam County,10.2,8.3,8.5,6.8,Putnam County,432.9
36077,Queens County,9.5,9.1,11.2,11.2,Queens County,20553.6
36079,Rensselaer County,10.5,9.5,9.6,8.2,Rensselaer County,244.4
36081,Richmond County,10.7,9.4,10.1,9,Richmond County,8030.3
36083,Rockland County,11.2,9.6,10.8,9.7,Rockland County,1795.9
36085,St. Lawrence County,10.8,9.5,11,10.2,St. Lawrence County,41.8
36087,Saratoga County,9.1,7.6,9.5,7.6,Saratoga County,271.1
36089,Schenectady County,12.1,10.5,10.6,9.2,Schenectady County,756.6
36091,Schoharie County,9.9,7.7,10.9,8.8,Schoharie County,52.7
36093,Schuyler County,10.1,7.9,11.6,9.8,Schuyler County,55.9
36095,Seneca County,10.2,8.7,9.4,8.3,Seneca County,108.9
36097,Steuben County,11.4,9.6,12.1,10.4,Steuben County,71.2
36099,Suffolk County,8.9,6.9,9.4,8.3,Suffolk County,1637.4
36101,Sullivan County,11.9,9.6,11.3,9.8,Sullivan County,80.1
36103,Tioga County,10.8,8.6,11.4,9.6,Tioga County,98.6
36105,Tompkins County,7.7,6.7,7.9,7,Tompkins County,214
36107,Ulster County,10.2,8.4,9.9,8.8,Ulster County,162.3
36109,Warren County,11,8.8,10.8,9,Warren County,75.8
36111,Washington County,10.7,9.3,11.5,10.5,Washington County,76.1
36113,Wayne County,10.7,8.8,11.3,9.3,Wayne County,155.3
36115,Westchester County,8.7,7.8,8.6,7.9,Westchester County,2204.7
36117,Wyoming County,9.3,7.7,8.7,7.3,Wyoming County,71.1
36119,Yates County,10.5,8.1,10.7,8.4,Yates County,75
36121,Alamance County,12.7,12.2,11.4,10.5,Alamance County,356.5
36123,Alexander County,11.1,10.5,12.1,11,Alexander County,143.1
37001,Alleghany County,12.2,10.7,13.8,11.9,Alleghany County,47.5
37003,Anson County,12.3,14.3,14.3,15.5,Anson County,50.7
37005,Ashe County,10.1,9.2,12.4,10.6,Ashe County,64
37007,Avery County,10.8,10.2,11.6,10.6,Avery County,72
37009,Beaufort County,14.6,14.9,13.9,13,Beaufort County,57.7
37011,Bertie County,13.8,15.7,13.8,14.6,Bertie County,30.4
37013,Bladen County,14.4,14.9,14.6,14.5,Bladen County,40.2
37015,Brunswick County,12.9,11.1,12.1,9.9,Brunswick County,126.8
37017,Buncombe County,10.1,9,10.4,8.7,Buncombe County,362.9
37019,Burke County,13.4,12.5,12.4,11.4,Burke County,179.3
37021,Cabarrus County,10.3,9.6,10.6,9.2,Cabarrus County,492.1
37023,Caldwell County,11.9,11.2,14.8,13.6,Caldwell County,176.1
37025,Camden County,11.5,10.5,11.9,10.4,Camden County,41.5
37027,Carteret County,11.9,10.9,11.3,9.3,Carteret County,131.3
37029,Caswell County,13.5,14.5,13,13.4,Caswell County,55.8
37031,Catawba County,10.9,9.3,14.3,12.7,Catawba County,387.1
37033,Chatham County,10.4,9.2,13,11.2,Chatham County,93.1
37035,Cherokee County,14.1,13.1,14.3,11.9,Cherokee County,60.3
37037,Chowan County,14.2,13.9,13.8,12.9,Chowan County,85.8
